sampleid	sampletype	scid	day	treatment	mcround	age
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical
M10D0	fecal	2	0	1 ppb	1	1
M10D14	fecal	2	14	1 ppb	1	1
M10D3	fecal	2	3	1 ppb	1	1
M10D5	fecal	2	5	1 ppb	1	1
M10D8	fecal	2	8	1 ppb	1	1
M11D0	fecal	2	0	10 ppb	1	1
M11D14	fecal	2	14	10 ppb	1	1
M11D3	fecal	2	3	10 ppb	1	1
M11D5	fecal	2	5	10 ppb	1	1
M11D8	fecal	2	8	10 ppb	1	1
M12D0	fecal	2	0	100 ppb	1	1
M12D14	fecal	2	14	100 ppb	1	1
M12D3	fecal	2	3	100 ppb	1	1
M12D5	fecal	2	5	100 ppb	1	1
M12D8	fecal	2	8	100 ppb	1	1
M13D0	fecal	2	0	800 ppb	1	1
M13D14	fecal	2	14	800 ppb	1	1
M13D3	fecal	2	3	800 ppb	1	1
M13D5	fecal	2	5	800 ppb	1	1
M13D8	fecal	2	8	800 ppb	1	1
M15D0	fecal	1	0	Control	2	3
M15D14	fecal	1	14	Control	2	3
M15D3	fecal	1	3	Control	2	3
M15D5	fecal	1	5	Control	2	3
M15D8	fecal	1	8	Control	2	3
M16D0	fecal	1	0	DMSO	2	3
M16D14	fecal	1	14	DMSO	2	3
M16D3	fecal	1	3	DMSO	2	3
M16D5	fecal	1	5	DMSO	2	3
M16D8	fecal	1	8	DMSO	2	3
M17D0	fecal	1	0	1 ppb	2	3
M17D14	fecal	1	14	1 ppb	2	3
M17D3	fecal	1	3	1 ppb	2	3
M17D5	fecal	1	5	1 ppb	2	3
M17D8	fecal	1	8	1 ppb	2	3
M18D0	fecal	1	0	10 ppb	2	3
M18D14	fecal	1	14	10 ppb	2	3
M18D3	fecal	1	3	10 ppb	2	3
M18D5	fecal	1	5	10 ppb	2	3
M18D8	fecal	1	8	10 ppb	2	3
M19D0	fecal	1	0	100 ppb	2	3
M19D14	fecal	1	14	100 ppb	2	3
M19D3	fecal	1	3	100 ppb	2	3
M19D5	fecal	1	5	100 ppb	2	3
M19D8	fecal	1	8	100 ppb	2	3
M1D0	fecal	1	0	Control	1	1
M1D14	fecal	1	14	Control	1	1
M1D3	fecal	1	3	Control	1	1
M1D5	fecal	1	5	Control	1	1
M1D8	fecal	1	8	Control	1	1
M20D0	fecal	1	0	800 ppb	2	3
M20D14	fecal	1	14	800 ppb	2	3
M20D3	fecal	1	3	800 ppb	2	3
M20D5	fecal	1	5	800 ppb	2	3
M20D8	fecal	1	8	800 ppb	2	3
M22D0	fecal	2	0	Control	2	3
M22D14	fecal	2	14	Control	2	3
M22D3	fecal	2	3	Control	2	3
M22D5	fecal	2	5	Control	2	3
M22D8	fecal	2	8	Control	2	3
M23D0	fecal	2	0	DMSO	2	3
M23D14	fecal	2	14	DMSO	2	3
M23D3	fecal	2	3	DMSO	2	3
M23D5	fecal	2	5	DMSO	2	3
M23D8	fecal	2	8	DMSO	2	3
M24D0	fecal	2	0	1 ppb	2	3
M24D14	fecal	2	14	1 ppb	2	3
M24D3	fecal	2	3	1 ppb	2	3
M24D5	fecal	2	5	1 ppb	2	3
M24D8	fecal	2	8	1 ppb	2	3
M25D0	fecal	2	0	10 ppb	2	3
M25D14	fecal	2	14	10 ppb	2	3
M25D3	fecal	2	3	10 ppb	2	3
M25D5	fecal	2	5	10 ppb	2	3
M25D8	fecal	2	8	10 ppb	2	3
M26D0	fecal	2	0	100 ppb	2	3
M26D14	fecal	2	14	100 ppb	2	3
M26D3	fecal	2	3	100 ppb	2	3
M26D5	fecal	2	5	100 ppb	2	3
M26D8	fecal	2	8	100 ppb	2	3
M27D0	fecal	2	0	800 ppb	2	3
M27D14	fecal	2	14	800 ppb	2	3
M27D3	fecal	2	3	800 ppb	2	3
M27D5	fecal	2	5	800 ppb	2	3
M27D8	fecal	2	8	800 ppb	2	3
M29D0	fecal	3	0	Control	3	1
M29D14	fecal	3	14	Control	3	1
M29D3	fecal	3	3	Control	3	1
M29D5	fecal	3	5	Control	3	1
M29D8	fecal	3	8	Control	3	1
M2D0	fecal	1	0	DMSO	1	1
M2D14	fecal	1	14	DMSO	1	1
M2D3	fecal	1	3	DMSO	1	1
M2D5	fecal	1	5	DMSO	1	1
M2D8	fecal	1	8	DMSO	1	1
M30D0	fecal	3	0	DMSO	3	1
M30D14	fecal	3	14	DMSO	3	1
M30D3	fecal	3	3	DMSO	3	1
M30D5	fecal	3	5	DMSO	3	1
M30D8	fecal	3	8	DMSO	3	1
M31D0	fecal	3	0	1 ppb	3	1
M31D14	fecal	3	14	1 ppb	3	1
M31D3	fecal	3	3	1 ppb	3	1
M31D5	fecal	3	5	1 ppb	3	1
M31D8	fecal	3	8	1 ppb	3	1
M32D0	fecal	3	0	10 ppb	3	1
M32D14	fecal	3	14	10 ppb	3	1
M32D3	fecal	3	3	10 ppb	3	1
M32D5	fecal	3	5	10 ppb	3	1
M32D8	fecal	3	8	10 ppb	3	1
M33D0	fecal	3	0	100 ppb	3	1
M33D14	fecal	3	14	100 ppb	3	1
M33D3	fecal	3	3	100 ppb	3	1
M33D5	fecal	3	5	100 ppb	3	1
M33D8	fecal	3	8	100 ppb	3	1
M34D0	fecal	3	0	800 ppb	3	1
M34D14	fecal	3	14	800 ppb	3	1
M34D3	fecal	3	3	800 ppb	3	1
M34D5	fecal	3	5	800 ppb	3	1
M34D8	fecal	3	8	800 ppb	3	1
M36D0	fecal	4	0	Control	3	1
M36D14	fecal	4	14	Control	3	1
M36D3	fecal	4	3	Control	3	1
M36D5	fecal	4	5	Control	3	1
M36D8	fecal	4	8	Control	3	1
M37D0	fecal	4	0	DMSO	3	1
M37D14	fecal	4	14	DMSO	3	1
