sc_id,mc_id,age,treatment,worker_count,dead_workers,total_worker_weight,average_worker_weight,larvae_count,live_larvae,total_larvae_weight,average_larvae_weight,pupae_count,pupae_weight,egg_count,total_egg_weight,non_burst_eggs,average_egg_weight
1,1,1,Control,10,0,1812.3,181.23,31,31,3456.5,111.5,3,612.4,15,23.3,12,1.941666667
1,2,1,DMSO,10,0,1507.1,150.71,3,3,787.3,262.4333333,0,,8,9.4,4,2.35
1,3,1,1ppb,10,0,1366.5,136.65,5,5,936,187.2,0,,16,27.5,12,2.291666667
1,4,1,10ppb,10,0,1452.1,145.21,9,9,1060.1,117.7888889,0,,27,34.1,23,1.482608696
1,5,1,100ppb,9,1,1603.6,178.1777778,5,5,449.9,89.98,0,,19,29.1,15,1.94
1,6,1,800ppb,10,0,1503.3,150.33,3,2,605.5,201.8333333,0,,20,39.9,19,2.1
2,8,1,Control,10,0,1834.1,183.41,28,28,3139.3,112.1178571,0,,18,34.7,17,2.041176471
2,9,1,DMSO,10,0,1878.3,187.83,8,8,1000.2,125.025,0,,31,39.5,26,1.519230769
2,10,1,1ppb,9,1,1615.2,179.4666667,11,11,666,60.54545455,0,,45,48.9,37,1.321621622
2,11,1,10ppb,10,0,2132.3,213.23,16,16,302.8,18.925,0,,53,77.5,48,1.614583333
2,12,1,100ppb,10,0,1847.3,184.73,12,11,1909.8,159.15,0,,24,43.2,20,2.16
2,13,1,800ppb,10,0,1353.5,135.35,35,8,1058.6,30.24571429,1,190,23,27.1,19,1.426315789
1,15,3,Control,10,0,1807.7,180.77,12,12,783.3,65.275,0,,10,12.5,8,1.5625
1,16,3,DMSO,10,0,1805.1,180.51,7,7,419.3,59.9,0,,5,7.1,4,1.775
1,17,3,1ppb,10,0,1749.9,174.99,12,12,1367.8,113.9833333,0,,0,,,
1,18,3,10ppb,9,1,1653.8,183.7555556,0,0,,,0,,18,30.8,17,1.811764706
1,19,3,100ppb,9,1,1417.6,157.5111111,3,3,770.3,256.7666667,0,,22,34.5,16,2.15625
1,20,3,800ppb,8,2,1194.3,149.2875,4,4,624.2,156.05,0,,20,21.8,14,1.557142857
