samp_id,sc_id,mc_id,day,treatment,mc_round,age,final_fecal_volume_mL,gene_count_per_microlitre_feces,qpcr_complete,genecount_1µL_qpcr,genecount_total_predf,genecount_total,total_seq,Enterobacteriaceae_ng,Enterococcus,Pseudomonas,Paenibacillus,Cellulosimicrobium,Stenotrophomonas,Bombilactobacillus,Priestia,Mixta,Lactobacillus,Rhizobium,Delftia,Bifidobacterium,Snodgrassella,Sphingomonas,Lysinibacillus,Curtobacterium,Roseomonas,Sphingobacterium,Paracoccus,Comamonadaceae_ng,Apilactobacillus,Dermacoccus,Schmidhempelia,Bombiscardovia,Schmidhempelia,Stenotrophomonas,Rhodococcus,Delftia,Dermacoccus,Methylorubrum,Meiothermus,Stenotrophomonas,Roseomonas,Acinetobacter,Commensalibacter,Arsenophonus,Comamonas,Klebsiella,Enterococcus,Acetobacter,Sphingobium,Brevundimonas,Lachnoclostridium,Leucobacter
M10D0,2,10,0,1 ng/mL,1,1,0.16045,952160.2499,yes,203698.8162,10184940.81,152774112.1,27478,0,0,0,0,0,0,6431379.808,0,0,11009915.73,0,0,2128779.115,0,0,0,0,0,0,0,0,0,0,0,0,16612892.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M10D14,2,10,14,1 ng/mL,1,1,0.16747,16561761.18,yes,3698130.86,184906543,2773598145,24165,38431644.29,770893.6615,50306731.89,705272.9553,0,0,11678610.12,0,491903.5745,30796265.78,0,0,3653577.545,0,0,0,1576613.767,0,26432995.56,0,0,0,0,0,788172.0755,5538014.294,62962711.87,0,0,0,0,0,216757957.5,143471.9914,118289342.6,0,0,20834019.17,0,0,0,0,0,0,0
M10D3,2,10,3,1 ng/mL,1,1,0.09878,2614810.68,yes,344387.9986,17219399.93,258290999,27524,215375.3143,0,0,0,0,0,13618834.92,0,0,26300890.09,0,0,3091435.015,0,0,0,0,0,0,0,0,0,0,0,0,11277474.48,0,0,0,0,0,0,0,0,2916108.27,0,0,0,0,0,0,0,0,0,0
M10D5,2,10,5,1 ng/mL,1,1,0.09573,8032701.389,yes,1025294.005,51264700.26,768970504,36042,537756.9886,0,7565.742631,0,0,0,3184308.587,0,0,6475250.145,0,0,756029.1691,0,0,0,0,0,0,0,0,0,0,0,0,1210784.045,0,0,0,0,0,0,0,0,106677002.4,0,0,0,0,0,0,0,0,0,0
M10D8,2,10,8,1 ng/mL,1,1,0.07844,805009.0196,yes,84193.20999,4209660.5,63144907.5,28100,250962.4087,9223.374009,369345.3568,3340.65974,0,0,1596038.1,0,0,4609431.208,0,0,314466.0007,0,0,0,0,0,0,0,0,0,0,0,0,2356698.279,194365.5414,0,0,0,0,5617.87613,696099.8252,0,2594619.452,0,0,0,0,0,0,0,0,0,0
M11D0,2,11,0,10 ng/mL,1,1,0.23571,998781.8395,yes,313897.1565,15694857.82,235422867.4,21224,13638.07565,0,0,0,0,0,5598835.872,0,0,28365234.83,0,0,2051908.03,0,0,0,0,0,0,0,0,0,0,0,0,17062722.68,0,0,0,0,0,0,0,0,3311.131271,0,0,0,0,0,0,0,0,0,0
M11D14,2,11,14,10 ng/mL,1,1,0.1134,7908608.712,yes,1195781.637,59789081.86,896836227.9,20556,58085479.45,1229098.49,58767546.12,0,0,0,8856672.313,0,747924.5157,12873226.71,0,0,1663926.108,0,0,0,0,0,0,0,0,0,0,0,0,2006930.694,3309780.8,0,0,0,0,0,13038530.06,0,15172447.88,0,0,0,0,0,0,0,0,0,0
M11D3,2,11,3,10 ng/mL,1,1,0.21306,854338.2038,yes,242700.3969,12135019.84,182025297.7,20504,114607.7153,21531.38532,7870.173575,0,0,0,6101096.669,0,0,20202820.93,0,0,1671538.8,11096.94474,0,0,0,0,0,0,0,0,0,0,0,12366427.98,0,0,0,0,0,0,40816.34847,0,522052.9821,0,0,0,0,0,0,0,0,0,0
M11D5,2,11,5,10 ng/mL,1,1,0.16969,538272.2041,yes,121785.8804,6089294.021,91339410.32,23128,90639.67183,0,0,0,0,0,3582015.09,0,0,10600538.8,0,0,858646.6047,0,0,0,0,0,0,0,0,0,0,0,0,5274290.145,0,0,0,0,0,0,0,0,163277.0348,0,0,0,0,0,0,0,0,0,0
M11D8,2,11,8,10 ng/mL,1,1,0.18417,5848262.29,yes,1436099.288,71804964.41,1077074466,22354,15057071.31,853983.2069,39801926.23,0,0,0,17201198.31,0,440526.8417,33906293.78,0,0,3342398.507,0,0,0,0,0,0,0,0,0,0,0,0,7612855.224,4901336.303,0,0,0,0,0,18262323.73,0,62040527.1,0,0,0,0,0,0,0,0,0,0
M12D0,2,12,0,100 ng/mL,1,1,0.21308,1098711.896,yes,312151.3745,15607568.73,234113530.9,25754,11176.71429,0,0,0,0,0,12206101.71,0,0,26371441.22,0,0,4173929.151,0,0,0,0,0,0,0,0,0,0,0,0,10792548.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M12D14,2,12,14,100 ng/mL,1,1,0.14803,5244358.128,yes,1035096.445,51754822.24,776322333.7,28957,13695912.49,420148.6885,66500838.96,111595.4507,0,254227.9409,5147421.536,0,0,15997431.05,32496.38239,0,9202175.481,0,0,0,0,0,0,0,0,0,0,0,0,3867268.531,10985726.86,0,0,0,0,0,41947603.55,0,208073.6197,0,0,0,0,0,0,0,0,0,0
M12D3,2,12,3,100 ng/mL,1,1,0.13925,875948.2399,yes,162634.3899,8131719.494,121975792.4,21733,40253.36123,0,0,0,0,0,3774385.529,0,0,12599184.89,0,0,1157887.773,0,0,0,0,0,0,0,0,28062.33628,0,0,0,10363424.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M12D5,2,12,5,100 ng/mL,1,1,0.13705,778421.957,yes,142243.6389,7112181.947,106682729.2,28052,56110.34982,0,6742.972693,0,0,0,4.13E+06,0,0,12841110.97,0,0,1241411.047,0,0,0,0,0,0,0,0,0,0,0,0,5823396.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M12D8,2,12,8,100 ng/mL,1,1,0.09647,4475690.956,yes,575693.2086,28784660.43,431769906.5,27857,4938881.474,0,57928052.14,0,0,97985.46554,4347613.163,0,0,8920192.405,0,0,3393136.42,0,0,0,0,0,0,0,0,0,0,0,0,2142807.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M13D0,2,13,0,800 ng/mL,1,1,0.21667,962350.2192,yes,278016.5626,13900828.13,208512422,20112,0,0,0,0,0,0,7677180.238,0,0,22236928.83,0,0,2338150.036,0,0,0,0,0,0,0,0,0,0,0,0,15486546.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M13D14,2,13,14,800 ng/mL,1,1,0.11074,4475266.104,yes,660787.9578,33039397.89,495590968.4,28465,34196723.01,480738.7728,6291254.68,174277.9285,0,0,2642049.224,0,129335.437,5875161.078,0,0,4789205.086,248100.1487,0,646334.3738,0,0,0,0,0,0,0,0,112085.0229,1318848.224,3637201.502,0,0,0,0,0,13218000.57,0,21781362.79,0,0,5500.957969,1542263.486,354057.5847,0,0,0,13928.38593,0
