samp_id,sc_id,mc_id,day,treatment,mc_round,age,final_fecal_volume_mL,gene_count_per_microlitre_feces,qpcr_complete,genecount_1µL_qpcr,genecount_total_predf,genecount_total,total_seq
M10D0,2,10,0,1 ng/mL,1,1,0.16045,952160.2499,yes,203698.8162,10184940.81,152774112.1,27478
M10D14,2,10,14,1 ng/mL,1,1,0.16747,16561761.18,yes,3698130.86,184906543,2773598145,24165
M10D3,2,10,3,1 ng/mL,1,1,0.09878,2614810.68,yes,344387.9986,17219399.93,258290999,27524
M10D5,2,10,5,1 ng/mL,1,1,0.09573,8032701.389,yes,1025294.005,51264700.26,768970504,36042
M10D8,2,10,8,1 ng/mL,1,1,0.07844,805009.0196,yes,84193.20999,4209660.5,63144907.5,28100
M11D0,2,11,0,10 ng/mL,1,1,0.23571,998781.8395,yes,313897.1565,15694857.82,235422867.4,21224
M11D14,2,11,14,10 ng/mL,1,1,0.1134,7908608.712,yes,1195781.637,59789081.86,896836227.9,20556
M11D3,2,11,3,10 ng/mL,1,1,0.21306,854338.2038,yes,242700.3969,12135019.84,182025297.7,20504
M11D5,2,11,5,10 ng/mL,1,1,0.16969,538272.2041,yes,121785.8804,6089294.021,91339410.32,23128
M11D8,2,11,8,10 ng/mL,1,1,0.18417,5848262.29,yes,1436099.288,71804964.41,1077074466,22354
M12D0,2,12,0,100 ng/mL,1,1,0.21308,1098711.896,yes,312151.3745,15607568.73,234113530.9,25754
M12D14,2,12,14,100 ng/mL,1,1,0.14803,5244358.128,yes,1035096.445,51754822.24,776322333.7,28957
M12D3,2,12,3,100 ng/mL,1,1,0.13925,875948.2399,yes,162634.3899,8131719.494,121975792.4,21733
M12D5,2,12,5,100 ng/mL,1,1,0.13705,778421.957,yes,142243.6389,7112181.947,106682729.2,28052
M12D8,2,12,8,100 ng/mL,1,1,0.09647,4475690.956,yes,575693.2086,28784660.43,431769906.5,27857
M13D0,2,13,0,800 ng/mL,1,1,0.21667,962350.2192,yes,278016.5626,13900828.13,208512422,20112
M13D14,2,13,14,800 ng/mL,1,1,0.11074,4475266.104,yes,660787.9578,33039397.89,495590968.4,28465
M13D3,2,13,3,800 ng/mL,1,1,0.14211,1422720.747,yes,269577.127,13478856.35,202182845.3,27317
M13D5,2,13,5,800 ng/mL,1,1,0.09785,1422982.646,yes,185651.8025,9282590.124,139238851.9,23356
M13D8,2,13,8,800 ng/mL,1,1,0.1328,2954512.467,yes,523145.6741,26157283.71,392359255.6,26828
M13FECAL,2,13,Gut,800 ng/mL,1,1,,,yes,660787.9578,33039397.89,495590968.4,28465
M13GUT,2,13,Gut,800 ng/mL,,,,,yes,565684.8293,56568482.93,8485272439,17303
M15D0,1,15,0,Control,2,3,0.150232799,1485727.955,yes,297606.759,14880337.95,223205069.2,26139
M15D14,1,15,14,Control,2,3,0.076720324,1093870.658,yes,111896.1484,5594807.418,83922111.27,24306
M15D3,1,15,3,Control,2,3,0.153982301,687752.1469,yes,141202.2107,7060110.537,105901658.1,24613
M15D5,1,15,5,Control,2,3,0.137422969,1117977.112,yes,204847.6453,10242382.26,153635734,28654
M15D8,1,15,8,Control,2,3,0.181585033,1345745.064,yes,325822.8824,16291144.12,244367161.8,24328
M16D0,1,16,0,DMSO,2,3,0.069133558,1428185.551,yes,131647.3981,6582369.907,98735548.6,19959
