sample,sc_id,mc_id,day,treatment,mc_round,age,total_seq, Enterobacteriaceae_ng, Enterococcus, Pseudomonas, Paenibacillus, Cellulosimicrobium, Enterobacteriaceae_ng, Enterobacteriaceae_ng, Enterococcus, Stenotrophomonas, Enterobacteriaceae_ng, Bombilactobacillus, Priestia, Pseudomonas, Mixta, Enterobacteriaceae_ng, Lactobacillus, Enterobacteriaceae_ng, Enterococcus, Lactobacillus, Rhizobium, Delftia, Bifidobacterium, Snodgrassella, Sphingomonas, Bombilactobacillus, Bifidobacterium, Lysinibacillus, Bifidobacterium, Curtobacterium, Lactobacillus, Roseomonas, Lactobacillus, Sphingobacterium, Paracoccus, Comamonadaceae_ng, Apilactobacillus, Pseudomonas, Dermacoccus, Schmidhempelia, Bombiscardovia, Schmidhempelia, Stenotrophomonas, Lactobacillus, Rhodococcus, Delftia, Bifidobacterium, Lactobacillus, Dermacoccus, Pseudomonas, Methylorubrum, Meiothermus, Enterobacteriaceae_ng, Pseudomonas, Stenotrophomonas, Roseomonas, Acinetobacter, Commensalibacter, Snodgrassella, Arsenophonus, Comamonas, Klebsiella, Enterococcus, Acetobacter, Bifidobacterium, Sphingobium, Bombilactobacillus, Paenibacillus, Brevundimonas, Paenibacillus, Lachnoclostridium, Lactobacillus, Leucobacter, Paenibacillus, Bombilactobacillus, Lactobacillus
BlankpcrCES,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS_M13_800,2,Gut,14,800 ppb,1,1,17303,0,0,0,0,0,0,0.076056175,0,0,0,0,0,0.000288967,0,0,0.003640987,0,0,0.089348668,0,0,0,0.011327515,0,0,0,0,0,0,0.154886436,0,0,0,0,0,0,0,0,0,0.00335202,0.042824944,0.001040282,0,0,0,0.217534532,0.141304976,0,0,0,0,0,0,0.003467607,0,0.002080564,0,0,0,0,0,0,0,0.025255736,0,0.227186037,0,0,0.000404554,0,0,0,0,0,0
GS_M43_Con,3,Gut,14,Control,4,3,24931,0,0,0,0,0,0,0.01363764,0,0,0,0,0,0,0,0,0.120171674,0.001965425,0,0.031446793,0,0,0.158076291,0,0,0,0,0,0,0,0.015442622,0,0,0,0,0,0,0,0,0,0.015402511,0.057879748,0,0,0,0,0.070073403,0.112751193,8.02E-05,0,0,0,0,0,0,0,0,0,0.271589587,0,0,0,0,0,0.044161887,0,0.087321006,0,0,0,0,0,0,0,0,0
GS_M48_800,3,Gut,14,Control,4,3,27870,0,0,0,0,0,0,0.021205597,0,0,0,0,0,0,0,0,0.107319699,0.002619304,0,0.055579476,0,0,0.133512738,0,0,0,0,0,0,0,0.077538572,0,0,0,0,0,0,0,0,0,0.01105131,0.022317905,0,0,0,0,0.104233943,0.125547183,0,0,0,0,0,0,0,0,0,0,0.182561895,0,0,0,0,0,0.047003947,0,0.109508432,0,0,0,0,0,0,0,0,0
GS_M71_Con,5,Gut,14,Control,6,3,15870,0,0,0,0,0,0,0.015122873,0,0,0,0,0,0,0,0,0.058916194,0,0,0.111972275,0,0,0.141083806,0,0,0,0,0,0,0,0.015437933,0,0,0,0,0,0,0,0,0.010396975,0.008065532,0.030623819,0,0,0,0,0.133207309,0.128292376,0,0,0,0,0,0,0,0,0,0,0.225078765,0,0,0,0,0,0.047448015,0,0.074354127,0,0,0,0,0,0,0,0,0
GS_M76_800,5,Gut,14,800 ppb,6,3,25207,0,0,0,0,0,0,0.018209228,0,0,0,0,0,0,0,0,0.055897171,0.001745547,0,0.096957194,0,0,0.085928512,0,0,0,0,0,0,0,0.040702979,0,0,0,0,0,0,0,0,0.012972587,0.008013647,0.039314476,0,0,0,0,0.141905026,0.120522077,0,0,0,0,0,0,0,0,0,0,0.261197286,0,0,0,0,0,0.039116119,0,0.07751815,0,0,0,0,0,0,0,0,0
GS_M8_Con,2,Gut,14,Control,1,1,21780,0,0,0,0,0,0,0.058769513,0,0,0,0,9.18E-05,0,0,0,0.017722681,0.00661157,0,0.158448118,0,0,0,0,0,0,0,0,0,0,0.049724518,0,0,0,0,0,0,0,0,0,0,0.060376492,0,0,0,0,0,0.160514233,0,0,0,0,0.000459137,0,0,0,0.000275482,0,0,0,0.000321396,0,0,0,0.063957759,0,0.422727273,0,0,0,0,0,0,0,0,0
M71D14,5,Gut,14,Control,6,3,22708,0,0.002862427,0,0,0,0,0.094680289,0,0,0,0,0,0.005328519,0,0,0.024925137,0.012991016,0,0.042584111,0,0.000528448,0.237537432,0,0,0,0,0,0,0,0.017526863,0,0,0,0,0,0,0,0,0.018451647,0.017658975,0.055002642,0,0,0,0,0.020081029,0.056015501,0,0,0,0,0,0.004491809,0.001453232,0,0,0,0.364276907,0,0,0,0,0,0.013167166,0,0.01043685,0,0,0,0,0,0,0,0,0
M76D14,5,Gut,14,800 ppb,6,3,26533,0,0.00380658,0,0,0,0,0.445897562,0,0,0,0,0,0,0,0,0.014660988,0.058304753,0,0.024460106,0,0,0.137526853,0,0,0,0,0,0,0,0.031997889,0,0,0,0,0,0,0,0,0.014057966,0.017449968,0.039761806,0,0,0,0,0.024648551,0.049033279,0,0,0,7.54E-05,0,0,0,0,0,0,0.114988882,0,0,0,0,0,0.008027739,0,0.0153017,0,0,0,0,0,0,0,0,0
M43D14,3,Gut,14,Control,4,3,23968,0,0,0,0,0,0,0.30795227,0,0,0,0,0,0,0,0,0.051985981,0.040595794,0,0.010430574,0,0,0.18587283,0,0,0,0,0,0,0,0.015103471,0,0,0,0,0,0,0,0,0,0.01635514,0.065962951,0,0,0,0,0.010514019,0.051360147,0,0,0,0,0,0,0,0,0,0,0.21165721,0,0,0,0,0,0.011890854,0,0.020318758,0,0,0,0,0,0,0,0,0
